File,Channel,Nuclei,x,y,z,Value,FWHM,SNR,NSNR,Label
3,a488,2,613.542,186.248,23.733,2.969,2.898,18.428,2.255,2
3,a488,2,595.33,221.845,22.221,2.638,3.06,51.145,2.156,1
3,a488,3,135.325,237.058,24.679,3.661,2.803,27.301,2.823,1
3,a488,3,129.203,231.933,23.66,2.148,2.986,15.821,2.171,1
3,a488,3,26.213,274.27,23.592,1.973,2.576,30.393,1.928,2
3,a488,4,239.835,313.185,25.749,2.194,2.34,15.378,2.234,1
3,a488,4,242.335,267.809,24.525,1.269,3.133,13.34,1.535,2
3,a488,5,684.665,281.251,23.326,2.025,2.976,6.537,1.448,2
3,a488,5,686.809,391.347,21.477,1.168,2.162,14.533,1.481,1
3,a488,5,692.084,379.219,23.031,1.093,2.365,15.365,1.582,1
